datebymonth,date,NumbNeedleReports,WeedCrimes,HeroinCrimes
2015.05,05/2015,11,5,63
2015.06,06/2015,25,31,145
2015.07,07/2015,93,36,122
2015.08,08/2015,118,43,116
2015.09,09/2015,114,58,184
2015.1,10/2015,83,58,128
2015.11,11/2015,79,69,103
2015.12,12/2015,99,64,99
2016.01,01/2016,78,67,145
2016.02,02/2016,153,87,162
2016.03,03/2016,154,68,126
2016.04,04/2016,135,84,141
2016.05,05/2016,154,98,141
2016.06,06/2016,145,61,111
2016.07,07/2016,160,55,106
2016.08,08/2016,209,65,112
2016.09,09/2016,255,57,101
2016.1,10/2016,241,52,80
2016.11,11/2016,158,34,63
2016.12,12/2016,149,19,117
2017.01,01/2017,200,20,89
2017.02,02/2017,169,51,159
2017.03,03/2017,195,33,112
2017.04,04/2017,265,40,130
2017.05,05/2017,255,23,123
2017.06,06/2017,325,27,114
2017.07,07/2017,334,38,137
2017.08,08/2017,391,22,134
2017.09,09/2017,428,47,141
2017.1,10/2017,425,34,134
2017.11,11/2017,340,32,100
2017.12,12/2017,229,31,110
2018.01,01/2018,261,36,127
2018.02,02/2018,306,40,133
2018.03,03/2018,330,43,153
2018.04,04/2018,408,38,155
2018.05,05/2018,544,37,145
2018.06,06/2018,405,42,161
2018.07,07/2018,495,48,125
2018.08,08/2018,479,41,163
2018.09,09/2018,434,36,137
